sl_no,product_name,image_file,match_level,source_shop,source_product_name,source_page_url,image_url,note
68,Helicopter,068_Helicopter.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Helicopter,https://srivelavanpattasukadai.com/product/helicopter/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/helkicopter.png,
69,Electric Stone,069_Electric_Stone.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Electric Stone,https://srivelavanpattasukadai.com/product/electric-stone/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/stone.png,
70,Spark Snap / Photo Flash,070_Spark_Snap_Photo_Flash.jpg,EXACT,chakracrackers.com,Photo Flash ( புகைப்பட ஃப்ளாஷ் ) (5 Pcs),https://chakracrackers.com/product/photo-flash-5-pcs/,https://chakracrackers.com/wp-content/uploads/2023/04/CHA-077.jpg,
71,Selfie Stick,071_Selfie_Stick.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Selfie Stick,https://srivelavanpattasukadai.com/product/selfie-stick-2/,https://srivelavanpattasukadai.com/wp-content/uploads/2026/09/selfie-stick.png,
72,Star Flash / SkyShot Spark,072_Star_Flash_SkyShot_Spark.jpg,TYPE,sivancrackers.com,Star Light 1 Box - 5 Pieces,https://www.sivancrackers.com/,https://sivancrackers.s3.ap-south-1.amazonaws.com/products/images/04129f8e889dbbe44a6647f067af81f0.webp,star/sky spark novelty; SkyShot Spark not listed
73,7 shots colour,073_7_shots_colour.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),7 shots colour,https://srivelavanpattasukadai.com/product/7-shots-colour/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/57.-7-shots-colour.jpg,
74,15' Super Pencil,074_15_Super_Pencil.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),15′ Super Pencil,https://srivelavanpattasukadai.com/product/12-super-pencil/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/15cm-pencil.png,
75,18' Super Pencil,075_18_Super_Pencil.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),18′ Super Pencil,https://srivelavanpattasukadai.com/product/18-magic-pencil/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/18-pencil-1.png,
76,Golden Star Fancy Pencil,076_Golden_Star_Fancy_Pencil.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Golden Star Fancy Pencil,https://srivelavanpattasukadai.com/product/colour-smoke-3-pcs/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/pencil.png,
77,Rainbow Colour Smoke (3 Pcs),077_Rainbow_Colour_Smoke_3_Pcs.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Rainbow Colour Smoke (3 Pcs),https://srivelavanpattasukadai.com/product/rainbow-colour-smoke-3-pcs/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/Colour-Smoke-3-Pcs.png,
78,"1"" Chota Serial Shots",078_1_Chota_Serial_Shots.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),1″ Chota Serial Shots,https://srivelavanpattasukadai.com/product/1-chota-serial-shots/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/1-chota.png,
79,Penta Series - 5 Colours Combo,079_Penta_Series_5_Colours_Combo.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Penta Series – 5 Colours Combo,https://srivelavanpattasukadai.com/product/penta-sky-shot-5-color-branded/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/penta-1.png,
80,"2"" (1Pce) Comet Single Pipe",080_2_1Pce_Comet_Single_Pipe.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2″ (1Pce) Comet Single Pipe,https://srivelavanpattasukadai.com/product/2-1pce-comet/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/64.-2-1Pce-Comet.jpg,
81,"2"" (3Pcs) Comet Combo Hulk",081_2_3Pcs_Comet_Combo_Hulk.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2″ (3Pcs) Comet Combo Hulk,https://srivelavanpattasukadai.com/product/2-comet-combo-bad-boys/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/hulk.png,
82,"2"" (3Pcs) Comet Combo Sun Flash",082_2_3Pcs_Comet_Combo_Sun_Flash.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2″ (3Pcs) Comet Combo Sun Flash,https://srivelavanpattasukadai.com/product/2-3pcs-comet-combo-skype/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/sun-flash.png,
83,"2"" (3Pcs) Comet Combo Hero",083_2_3Pcs_Comet_Combo_Hero.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2″ (3Pcs) Comet Combo Hero,https://srivelavanpattasukadai.com/product/2-3pcs-comet-combo-facebook-whatsapp/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/hero.png,
84,"2"" (3Pcs) Comet Combo Aquastat",084_2_3Pcs_Comet_Combo_Aquastat.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2″ (3Pcs) Comet Combo Aquastat,https://srivelavanpattasukadai.com/product/2-3pcs-comet-combo-hero-hulk/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/2-combo-aquasta.png,
85,"3"" (1Pce) Golden Queens",085_3_1Pce_Golden_Queens.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3″ (1Pce) Golden Queens,https://srivelavanpattasukadai.com/product/3-25-single-classic/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/69.-3-1Pce-Golden-Queens.jpg,
86,"3"" (1Pce) Red Rangers",086_3_1Pce_Red_Rangers.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3″ (1Pce) Red Rangers,https://srivelavanpattasukadai.com/product/3-25-single-nobita/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/red-range.png,
87,"3"" (1Pce) Spider Magic",087_3_1Pce_Spider_Magic.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3″ (1Pce) Spider Magic,https://srivelavanpattasukadai.com/product/3-25-single-harleys-angles/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/spider-magic.png,
88,"3"" (1Pce) Green Birds",088_3_1Pce_Green_Birds.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3″ (1Pce) Green Birds,https://srivelavanpattasukadai.com/product/3-25-single-silver-jublie/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/72.-3-1Pce-Green-Birds.jpg,
89,"3.5"" (1Pce) Hemnath Light",089_3_5_1Pce_Hemnath_Light.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3.5″ (1Pce)  Hemnath Light,https://srivelavanpattasukadai.com/product/3-5-single-green-rise/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/hemnath-light.png,
90,"3.5"" (1Pce) MegaMix",090_3_5_1Pce_MegaMix.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3.5″ (1Pce)  MegaMix,https://srivelavanpattasukadai.com/product/3-5-single-king-queen/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/mega-mix.png,
91,"3.5"" (1Pce) Royal",091_3_5_1Pce_Royal.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3.5″ (1Pce) Royal,https://srivelavanpattasukadai.com/product/3-5-single-boome-rang/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/royal.png,
92,"3.5"" (1Pce) Fiesta",092_3_5_1Pce_Fiesta.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3.5″ (1Pce) Fiesta,https://srivelavanpattasukadai.com/product/3-5-single-bubble-blaze/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/76.-3.5-1Pce-Fiesta.jpg,
